week_start,total_events_country,conflict_count,avg_goldstein,avg_tone,goldstein_volatility,total_mentions_conflict,days_covered,week_label,google_trends_score,target_count_h1,target_count_h2,target_count_h3,target_count_h4,escalation_threshold,escalation_event,target_event_h1,target_event_h2,target_event_h3,target_event_h4,conflict_count_t0,conflict_count_lag1,conflict_count_lag2,conflict_count_lag4,conflict_count_lag12,rolling_mean_4w,rolling_std_12w,rolling_max_8w,rolling_mean_12w,news_volume_change_wow,week_of_year,month,is_holiday,google_trends_score_lag1,google_trends_change_wow,weeks_since_major_spike,cumulative_conflict_12w
2021-12-27,308,88,-9.903409090909092,-5.265036676491565,0.21251037223441552,1051.0,2,2021-W52,3.0,327.0,253.0,935.0,758.0,,,,,,,88,,,,,,,,,,52,12,0,,,1.0,
2022-01-03,1149,327,-9.920489296636086,-5.405034210517631,0.217576738543037,2452.0,7,2022-W01,3.0,253.0,935.0,758.0,615.0,,,,,,,327,88.0,,,,207.5,,327.0,,2.7305194805194803,1,1,0,3.0,0.0,2.0,88.0
2022-01-10,1329,253,-9.82213438735178,-4.181282045017641,0.3053494448262101,1967.0,7,2022-W02,7.0,935.0,758.0,615.0,385.0,,,,,,,253,327.0,88.0,,,222.66666666666666,,327.0,,0.1566579634464751,2,1,0,3.0,1.3333333333333335,3.0,415.0
2022-01-17,3498,935,-9.912299465240642,-6.832828719130854,0.25199112044987043,18009.0,7,2022-W03,7.0,758.0,615.0,385.0,371.0,,,,,,,935,253.0,327.0,,,400.75,369.9120390939807,935.0,400.75,1.6320541760722347,3,1,0,7.0,0.0,4.0,668.0
2022-01-24,2512,758,-9.926781002638522,-6.482862722006443,0.234665352795056,13007.0,7,2022-W04,5.0,615.0,385.0,371.0,167.0,,,,,,,758,935.0,253.0,88.0,,568.25,357.98282081686546,935.0,472.2,-0.2818753573470555,4,1,0,7.0,-0.2857142857142857,5.0,1603.0
2022-01-31,1921,615,-9.894308943089431,-5.123460463086804,0.2871574756111526,5251.0,7,2022-W05,5.0,385.0,371.0,167.0,227.0,,,,,,,615,758.0,935.0,327.0,,640.25,325.4535297089279,935.0,496.0,-0.23527070063694266,5,1,0,5.0,0.0,6.0,2361.0
2022-02-07,1450,385,-9.761038961038961,-5.617805202627975,0.40186927942916684,4815.0,7,2022-W06,5.0,371.0,167.0,227.0,247.0,,,,,,,385,615.0,758.0,253.0,,673.25,300.04467921262915,935.0,480.14285714285717,-0.24518479958355022,6,2,0,5.0,0.0,7.0,2976.0
2022-02-14,1423,371,-9.804582210242588,-5.787650995919123,0.3604884458267155,6690.0,7,2022-W07,10.0,167.0,227.0,247.0,201.0,,,,,,,371,385.0,615.0,935.0,,532.25,280.4547327874093,935.0,466.5,-0.018620689655172384,7,2,0,5.0,1.0,8.0,3361.0
2022-02-21,927,167,-9.8562874251497,-5.454301359959635,0.31575972834695043,1048.0,7,2022-W08,20.0,227.0,247.0,201.0,410.0,,,,,,,167,371.0,385.0,758.0,,384.5,280.6950203413741,935.0,433.22222222222223,-0.348559381588194,8,2,0,10.0,1.0,9.0,3732.0
2022-02-28,1155,227,-9.801762114537445,-4.581670649838102,0.34615009759173027,2466.0,7,2022-W09,19.0,247.0,201.0,410.0,261.0,,,,,,0,227,167.0,371.0,615.0,,287.5,272.55833218678976,935.0,412.6,0.24595469255663427,9,2,0,20.0,-0.050000000000000044,10.0,3899.0
2022-03-07,1540,247,-9.831983805668017,-5.632217755656544,0.307608979533308,2716.0,7,2022-W10,16.0,201.0,410.0,261.0,222.0,,,,,0,0,247,227.0,167.0,385.0,,253.0,263.3481967420182,935.0,397.54545454545456,0.33333333333333326,10,3,0,19.0,-0.1578947368421053,11.0,4126.0
2022-03-14,1929,201,-9.85820895522388,-5.943701216076977,0.32564516904047935,2639.0,7,2022-W11,16.0,410.0,261.0,222.0,157.0,,,,0,0,0,201,247.0,227.0,371.0,,210.5,257.4231865425043,758.0,381.1666666666667,0.2525974025974025,11,3,0,16.0,0.0,12.0,4373.0
2022-03-21,2141,410,-9.904878048780487,-6.064061574160968,0.26760846075941286,5332.0,7,2022-W12,13.0,261.0,222.0,157.0,139.0,,,0,0,0,0,410,201.0,247.0,167.0,88.0,271.25,240.2986777854896,615.0,408.0,0.10990150336962157,12,3,0,16.0,-0.1875,13.0,4574.0
2022-03-28,2375,261,-9.831417624521073,-5.058285328003208,0.2947122160745399,4640.0,7,2022-W13,9.0,222.0,157.0,139.0,81.0,876.5718945268214,0,0,0,0,0,261,410.0,201.0,227.0,327.0,279.75,243.06059850468267,410.0,402.5,0.10929472209248026,13,3,0,13.0,-0.3076923076923077,14.0,4896.0
2022-04-04,1919,222,-9.873873873873874,-4.823156346573771,0.26880385680265695,2419.0,7,2022-W14,7.0,157.0,139.0,81.0,116.0,852.9762504626578,0,0,0,0,0,222,261.0,410.0,247.0,253.0,273.5,244.95137117890204,410.0,399.9166666666667,-0.19199999999999995,14,4,0,9.0,-0.2222222222222222,15.0,4830.0
2022-04-11,1500,157,-9.837579617834395,-4.772059904547611,0.33596665217961136,1752.0,7,2022-W15,6.0,139.0,81.0,116.0,110.0,832.0915875879823,0,0,0,0,0,157,222.0,261.0,201.0,935.0,262.5,186.41764368961398,410.0,335.0833333333333,-0.21834288692027093,15,4,0,7.0,-0.1428571428571429,16.0,4799.0
2022-04-18,1407,139,-9.87410071942446,-3.981165219161275,0.3616263844854251,1330.0,7,2022-W16,6.0,81.0,116.0,110.0,99.0,815.0250442712526,0,0,0,0,0,139,157.0,222.0,410.0,758.0,194.75,138.14583861728417,410.0,283.5,-0.062000000000000055,16,4,0,6.0,0.0,17.0,4021.0
2022-04-25,1011,81,-9.851851851851851,-5.0029373188481605,0.33952581312438906,595.0,7,2022-W17,5.0,116.0,110.0,99.0,93.0,799.4910422581529,0,0,0,0,0,81,139.0,157.0,261.0,615.0,149.75,103.25520017721315,410.0,239.0,-0.2814498933901919,17,4,1,6.0,-0.16666666666666663,18.0,3402.0
2022-05-02,795,116,-9.89655172413793,-6.100521668379886,0.2913032289803751,1372.0,7,2022-W18,5.0,110.0,99.0,93.0,102.0,787.6681277239472,0,0,0,0,0,116,81.0,139.0,222.0,385.0,123.25,97.72917898070371,410.0,216.58333333333334,-0.21364985163204753,18,5,1,5.0,0.0,19.0,2868.0
2022-05-09,755,110,-9.827272727272728,-6.461012430342753,0.3208100672506623,1694.0,7,2022-W19,4.0,99.0,93.0,102.0,46.0,773.7141866663152,0,0,0,0,0,110,116.0,81.0,157.0,371.0,111.5,88.88177370512861,410.0,194.83333333333334,-0.05031446540880502,19,5,0,5.0,-0.19999999999999996,20.0,2599.0
2022-05-16,978,99,-9.833333333333334,-4.596115898661775,0.3425593945223366,857.0,7,2022-W20,4.0,93.0,102.0,46.0,123.0,760.431873305097,0,0,0,0,0,99,110.0,116.0,139.0,167.0,101.5,92.89469437176828,261.0,189.16666666666666,0.2953642384105961,20,5,1,4.0,0.0,21.0,2338.0
2022-05-23,979,93,-9.779569892473118,-6.088347079173048,0.3863314469594358,1150.0,7,2022-W21,4.0,102.0,46.0,123.0,90.0,747.9789915219274,0,0,0,0,0,93,99.0,110.0,81.0,227.0,104.5,95.93747964169161,222.0,178.0,0.0010224948875254825,21,5,0,4.0,0.0,22.0,2270.0
2022-05-30,1363,102,-9.882352941176471,-5.457499987152196,0.25540174709074803,2138.0,7,2022-W22,4.0,46.0,123.0,90.0,126.0,736.0972918427475,0,0,0,0,0,102,93.0,99.0,116.0,247.0,101.0,95.5876164795546,157.0,165.91666666666666,0.39223697650663936,22,5,0,4.0,0.0,23.0,2136.0
2022-06-06,657,46,-9.793478260869565,-6.168494156388374,0.3428003461122611,398.0,7,2022-W23,5.0,123.0,90.0,126.0,59.0,724.3044240363747,0,0,0,0,0,46,102.0,93.0,110.0,201.0,85.0,100.74901307885666,139.0,153.0,-0.5179750550256786,23,6,0,4.0,0.25,24.0,1991.0
2022-06-13,995,123,-9.882113821138212,-4.951248331456468,0.2722199328788962,2511.0,7,2022-W24,4.0,90.0,126.0,59.0,108.0,714.8697407494882,0,0,0,0,0,123,46.0,102.0,99.0,410.0,91.0,60.030989471852706,123.0,129.08333333333334,0.5144596651445967,24,6,0,5.0,-0.19999999999999996,25.0,1836.0
2022-06-20,544,90,-9.794444444444444,-6.085318807302782,0.3814110735037209,854.0,7,2022-W25,3.0,126.0,59.0,108.0,97.0,703.4507197349369,0,0,0,0,0,90,123.0,46.0,93.0,261.0,90.25,44.0347658794798,123.0,114.83333333333333,-0.45326633165829144,25,6,0,4.0,-0.25,26.0,1549.0
2022-06-27,656,126,-9.956349206349206,-6.136432550070438,0.15517527212595722,944.0,7,2022-W26,3.0,59.0,108.0,97.0,67.0,693.1094394025038,0,0,0,0,0,126,90.0,123.0,102.0,222.0,96.25,28.922571661509348,126.0,106.83333333333333,0.2058823529411764,26,6,0,3.0,0.0,27.0,1378.0
2022-07-04,647,59,-9.940677966101696,-6.276104479432231,0.20936574503913488,783.0,7,2022-W27,3.0,108.0,97.0,67.0,118.0,682.67479867298,0,0,0,0,0,59,126.0,90.0,46.0,157.0,99.5,27.257470480029667,126.0,98.66666666666667,-0.013719512195121908,27,7,1,3.0,0.0,28.0,1282.0
