week_start,total_events_country,conflict_count,avg_goldstein,avg_tone,goldstein_volatility,total_mentions_conflict,days_covered,week_label,google_trends_score
2021-12-27,1191,58,-9.913793103448276,-5.746943288834683,0.23203771310388388,564.0,2,2021-W52,0.0
2022-01-03,5780,292,-9.875,-4.604716992100285,0.29710805420972497,2869.0,7,2022-W01,0.0
2022-01-10,9667,435,-9.819540229885057,-4.324978574608509,0.3345810642956358,5065.0,7,2022-W02,1.0
2022-01-17,18934,841,-9.824019024970273,-3.7353685099552,0.3245047796544324,12680.0,7,2022-W03,4.0
2022-01-24,25021,1259,-9.834392374900714,-4.038553926311425,0.3123336570530611,12439.0,7,2022-W04,2.0
2022-01-31,21767,1046,-9.794933078393882,-3.7369449970319124,0.37475752328517603,12183.0,7,2022-W05,3.0
2022-02-07,26337,1122,-9.75222816399287,-3.8706262255969888,0.3749747890306487,20406.0,7,2022-W06,8.0
2022-02-14,40344,2700,-9.865555555555556,-4.899341930324876,0.2836776598479359,55026.0,7,2022-W07,95.0
2022-02-21,111514,11071,-9.77983018697498,-4.456213958740761,0.34137800361276044,269021.0,7,2022-W08,100.0
2022-02-28,134050,12711,-9.78290457084415,-4.322073033690915,0.36874072426898596,250449.0,7,2022-W09,53.0
2022-03-07,111921,10500,-9.800761904761904,-4.5635353065932325,0.36270484649795165,150626.0,7,2022-W10,39.0
2022-03-14,93138,10688,-9.826066616766466,-4.545843730634323,0.3393444547721995,187822.0,7,2022-W11,32.0
2022-03-21,76039,7696,-9.80158523908524,-4.620043218014519,0.3474628471653555,131172.0,7,2022-W12,26.0
2022-03-28,63999,6481,-9.80898009566425,-4.530340286132616,0.3421332312217346,120648.0,7,2022-W13,24.0
2022-04-04,61506,6963,-9.792330891856958,-5.401874790733932,0.37484277459077103,111360.0,7,2022-W14,21.0
2022-04-11,55656,6590,-9.795827010622155,-5.1111786276032,0.3678404659723487,116656.0,7,2022-W15,21.0
2022-04-18,51473,6344,-9.806194829760404,-4.394808313454661,0.3604187973365169,121402.0,7,2022-W16,19.0
2022-04-25,55409,6022,-9.837595483228164,-4.347126532609175,0.33782926696561577,139062.0,7,2022-W17,19.0
2022-05-02,49309,5147,-9.83339809597824,-4.288251122872272,0.3427072855655975,96256.0,7,2022-W18,18.0
2022-05-09,42703,4465,-9.81545352743561,-4.404531499778814,0.3492290878221998,86481.0,7,2022-W19,17.0
2022-05-16,36254,4053,-9.829509005674808,-4.8853065167091225,0.3481692079500767,76618.0,7,2022-W20,15.0
2022-05-23,31347,3947,-9.82049657968077,-4.84443780513219,0.3590026121007208,58509.0,7,2022-W21,16.0
2022-05-30,28797,4005,-9.823845193508115,-4.543440645450877,0.34241925334293677,57094.0,7,2022-W22,14.0
2022-06-06,27986,3649,-9.84858865442587,-4.640449208160169,0.32972078813417405,46292.0,7,2022-W23,13.0
2022-06-13,32257,3577,-9.827089740005592,-4.061748275803276,0.3409935001846711,38096.0,7,2022-W24,13.0
2022-06-20,27552,3483,-9.825437840941717,-4.245605380184198,0.3550190743646203,44924.0,7,2022-W25,11.0
2022-06-27,27109,3440,-9.838517441860466,-4.574299371915967,0.3363447353943206,51382.0,7,2022-W26,12.0
2022-07-04,26204,3024,-9.843419312169312,-4.391171328931755,0.32718339298793164,37625.0,7,2022-W27,10.0
2022-07-11,22317,3200,-9.854375,-4.8522628955483365,0.32583782406263245,41233.0,7,2022-W28,10.0
2022-07-18,27006,2977,-9.875881760161237,-4.095098988804089,0.29890498543135396,31310.0,7,2022-W29,11.0
2022-07-25,22618,3192,-9.849937343358397,-4.8801184411645036,0.3288680278081264,34710.0,7,2022-W30,12.0
2022-08-01,20480,2390,-9.831380753138076,-4.477607426383238,0.352320801337509,22309.0,7,2022-W31,12.0
2022-08-08,20104,2774,-9.883561643835616,-4.788415621332385,0.2922798029565808,30018.0,7,2022-W32,12.0
2022-08-15,20421,2525,-9.868514851485148,-4.63852007288951,0.2978042536494525,24927.0,7,2022-W33,11.0
2022-08-22,23899,3087,-9.873501781665047,-4.593700988295557,0.3130104105140113,36581.0,7,2022-W34,12.0
2022-08-29,20245,2623,-9.861227601982463,-4.271901111461205,0.30784730724382786,31176.0,7,2022-W35,14.0
2022-09-05,20735,2587,-9.800154619250097,-3.9729853287081967,0.3338240422211231,29659.0,7,2022-W36,21.0
2022-09-12,23194,3493,-9.747638133409676,-4.59661497896211,0.3786971299186954,49462.0,7,2022-W37,17.0
2022-09-19,25644,2854,-9.744569025928522,-4.864257452588678,0.3944012396729416,36001.0,7,2022-W38,17.0
2022-09-26,22777,2603,-9.80945063388398,-4.629701496121948,0.3315277532784718,45027.0,7,2022-W39,21.0
2022-10-03,23547,3155,-9.794136291600633,-4.329355160530601,0.33385468067797636,38082.0,7,2022-W40,19.0
2022-10-10,27212,4318,-9.886637332098193,-4.937384776164015,0.28646357397214467,56970.0,7,2022-W41,16.0
2022-10-17,23639,3791,-9.865207069374835,-5.25323820209524,0.3152336372108257,64093.0,7,2022-W42,16.0
2022-10-24,21614,2570,-9.84591439688716,-5.105396872876185,0.33393865567804315,27382.0,7,2022-W43,14.0
2022-10-31,18970,2452,-9.87357259380098,-4.8527159700625235,0.3025173210414759,43357.0,7,2022-W44,15.0
2022-11-07,17510,2187,-9.855509830818473,-4.44852474260571,0.29893154238898606,25032.0,6,2022-W45,15.0
2022-11-14,27267,4141,-9.855831924655881,-4.728541642153119,0.31867466298088515,62099.0,7,2022-W46,11.0
2022-11-21,18119,2754,-9.870915032679738,-4.905961235710124,0.30096122440779427,38927.0,7,2022-W47,11.0
2022-11-28,18979,2243,-9.845965225144894,-4.427493352157586,0.3220494870630233,22921.0,7,2022-W48,11.0
2022-12-05,18058,3038,-9.885615536537195,-4.750314858481951,0.28976697400689966,37250.0,7,2022-W49,11.0
2022-12-12,18615,2859,-9.877929345925148,-4.556874185871739,0.30900715845682825,35662.0,7,2022-W50,11.0
2022-12-19,23964,2437,-9.855354944604022,-3.7345559159392425,0.32465885719028315,31842.0,7,2022-W51,11.0
2022-12-26,16208,3081,-9.908795845504706,-4.629226474718749,0.2686979382293592,56383.0,7,2022-W52,11.0
2023-01-02,17005,3081,-9.894190197987667,-5.0635802894936015,0.2877397388604392,40057.0,7,2023-W01,12.0
2023-01-09,21435,3866,-9.84635281945163,-4.7552176173504765,0.31116921547748305,51833.0,7,2023-W02,12.0
2023-01-16,24912,3174,-9.895242596093258,-4.417631540998631,0.2726752079887137,42939.0,7,2023-W03,13.0
2023-01-23,23434,2747,-9.893338187113214,-4.232453175007241,0.27736146836062564,29240.0,7,2023-W04,12.0
2023-01-30,21141,2562,-9.853239656518346,-4.397543667033639,0.32758038251600324,29029.0,7,2023-W05,12.0
2023-02-06,22768,2582,-9.882455460883037,-4.044098044175811,0.29034257603717023,31678.0,7,2023-W06,13.0
2023-02-13,23913,2815,-9.830728241563055,-4.198550325934953,0.3455946777279939,29432.0,7,2023-W07,16.0
2023-02-20,41566,3142,-9.80872056015277,-4.120196901872871,0.34439203829827253,42645.0,7,2023-W08,13.0
2023-02-27,24566,2669,-9.835144248782315,-4.822031801866863,0.33165313830417514,29799.0,7,2023-W09,12.0
2023-03-06,20887,3289,-9.846913955609608,-4.76908607364631,0.3402585859416435,44509.0,7,2023-W10,11.0
2023-03-13,20522,2485,-9.83440643863179,-4.79474769970458,0.35560173848823307,36197.0,7,2023-W11,11.0
2023-03-20,20618,2325,-9.806451612903226,-4.721958338907806,0.3704344717373269,22932.0,6,2023-W12,12.0
2023-03-27,28393,3045,-9.825451559934319,-4.4389534029969875,0.3556275126606483,44729.0,7,2023-W13,11.0
2023-04-03,27100,2951,-9.831582514401898,-4.62398034723542,0.3448391959601188,36767.0,7,2023-W14,10.0
2023-04-10,26803,2955,-9.817766497461928,-4.375629448595613,0.3591898555972836,27605.0,7,2023-W15,10.0
2023-04-17,26836,2721,-9.8257993384785,-4.25081009283408,0.3573950310924342,30592.0,7,2023-W16,11.0
2023-04-24,26577,3557,-9.876721956705088,-4.514580221469189,0.32090308539805756,62790.0,7,2023-W17,11.0
2023-05-01,29298,4636,-9.822476272648835,-5.290330973420132,0.4408724243843353,79148.0,7,2023-W18,12.0
2023-05-08,28075,3993,-9.85962935136489,-4.370768331911229,0.34168928281699057,63321.0,7,2023-W19,13.0
2023-05-15,37773,3950,-9.885569620253165,-3.8820363739858608,0.29267994785262275,84829.0,7,2023-W20,12.0
2023-05-22,27758,4248,-9.873469868173258,-4.979194511842157,0.3019597141614828,62471.0,7,2023-W21,10.0
2023-05-29,24507,4464,-9.872759856630825,-5.309498465221558,0.324766621446962,92351.0,7,2023-W22,14.0
2023-06-05,36501,4743,-9.847670250896057,-5.114305573889357,0.33152630563343094,67408.0,7,2023-W23,14.0
2023-06-12,29810,4383,-9.854095368469086,-4.570673315824202,0.3134167022375128,59163.0,7,2023-W24,16.0
2023-06-19,30570,4319,-9.825885621671683,-4.666846301522182,0.32765323697488014,50321.0,7,2023-W25,15.0
2023-06-26,26536,3377,-9.841575362748001,-4.525925621798105,0.3234710751434152,50916.0,7,2023-W26,12.0
2023-07-03,27127,3617,-9.862455073265137,-4.810652949473417,0.3178508265516199,37878.0,7,2023-W27,12.0
2023-07-10,34752,4051,-9.879165638114046,-4.635416897020862,0.30311208042237653,48106.0,7,2023-W28,11.0
2023-07-17,31544,4462,-9.845360824742269,-5.129262427121707,0.3377201703903581,56166.0,7,2023-W29,12.0
2023-07-24,24319,4310,-9.86461716937355,-4.887742348013291,0.2995913199671261,56421.0,7,2023-W30,11.0
2023-07-31,24272,4302,-9.866108786610878,-5.374269248486161,0.3177968000342918,50266.0,7,2023-W31,10.0
2023-08-07,21317,4116,-9.869169096209912,-5.170639644511246,0.32186333194283034,40986.0,7,2023-W32,11.0
2023-08-14,20905,3977,-9.884586371636912,-5.011279671622318,0.2749268901268574,41002.0,7,2023-W33,11.0
2023-08-21,27889,4110,-9.871897810218979,-4.767078787359716,0.3030245029277584,46627.0,7,2023-W34,12.0
2023-08-28,21825,3630,-9.884022038567494,-4.875696463098371,0.29586722491699047,38555.0,7,2023-W35,11.0
2023-09-04,28762,3769,-9.871583974529052,-4.719472882822179,0.307741000303067,40684.0,7,2023-W36,11.0
2023-09-11,26653,3858,-9.82205806117159,-4.216526440945502,0.35299116638425915,35212.0,7,2023-W37,11.0
2023-09-18,38175,4456,-9.845152603231599,-4.663485003857553,0.32915062484195606,45567.0,7,2023-W38,10.0
2023-09-25,26816,3769,-9.86587954364553,-4.8331127666877585,0.31503045943153335,36561.0,7,2023-W39,9.0
2023-10-02,26240,3660,-9.881010928961748,-5.079087352673782,0.29477098153625353,39050.0,7,2023-W40,12.0
2023-10-09,18588,3024,-9.837466931216932,-5.2561254480362765,0.3490760910338882,21491.0,7,2023-W41,10.0
2023-10-16,18237,2821,-9.847394540942927,-5.266117061674376,0.34392052823761154,24640.0,7,2023-W42,9.0
2023-10-23,17528,2717,-9.837872653662128,-5.369564302748341,0.36499687489238863,18158.0,7,2023-W43,8.0
2023-10-30,17977,3161,-9.835336918696616,-5.664175779746262,0.36610456510279993,22321.0,7,2023-W44,8.0
2023-11-06,19154,3375,-9.822666666666667,-5.172204071009792,0.358078915576826,29410.0,7,2023-W45,8.0
2023-11-13,19527,2770,-9.84043321299639,-5.060863940469494,0.33726722381757207,19567.0,7,2023-W46,7.0
2023-11-20,18792,2782,-9.826383896477354,-5.268777510284287,0.35735625902491164,31575.0,7,2023-W47,7.0
2023-11-27,17660,2382,-9.823257766582703,-5.398936434275106,0.35913209097764914,20011.0,7,2023-W48,7.0
2023-12-04,21412,2739,-9.84811975173421,-5.142922061457928,0.3361133373937037,21907.0,7,2023-W49,7.0
2023-12-11,24393,2240,-9.839285714285714,-4.562436197061951,0.3382315205227752,34852.0,7,2023-W50,6.0
2023-12-18,16714,2306,-9.85472679965308,-4.9290923006278184,0.325911688319068,17332.0,7,2023-W51,7.0
2023-12-25,17575,4478,-9.884881643590889,-5.773213007517065,0.2964334519562693,75869.0,7,2023-W52,7.0
